name,time,level description,location,water_level
h2o_feet,1566021960000000000,between 3 and 6 feet,santa_monica,4.987
h2o_feet,1566022320000000000,between 3 and 6 feet,coyote_creek,3.432
h2o_feet,1566022320000000000,between 3 and 6 feet,santa_monica,4.931
h2o_feet,1566022680000000000,between 3 and 6 feet,coyote_creek,3.57
h2o_feet,1566022680000000000,between 3 and 6 feet,santa_monica,5.02
h2o_feet,1566023040000000000,between 3 and 6 feet,coyote_creek,3.72
h2o_feet,1566023040000000000,between 3 and 6 feet,santa_monica,5.052
h2o_feet,1566023400000000000,between 3 and 6 feet,coyote_creek,3.881
h2o_feet,1566023400000000000,between 3 and 6 feet,santa_monica,5.052
h2o_feet,1566023760000000000,between 3 and 6 feet,coyote_creek,4.049
h2o_feet,1566023760000000000,between 3 and 6 feet,santa_monica,5.105
h2o_feet,1566024120000000000,between 3 and 6 feet,coyote_creek,4.209
h2o_feet,1566024120000000000,between 3 and 6 feet,santa_monica,5.089
h2o_feet,1566024480000000000,between 3 and 6 feet,coyote_creek,4.383
h2o_feet,1566024480000000000,between 3 and 6 feet,santa_monica,5.066
h2o_feet,1566024840000000000,between 3 and 6 feet,coyote_creek,4.56
h2o_feet,1566024840000000000,between 3 and 6 feet,santa_monica,5.059
h2o_feet,1566025200000000000,between 3 and 6 feet,coyote_creek,4.744
h2o_feet,1566025200000000000,between 3 and 6 feet,santa_monica,5.033
h2o_feet,1566025560000000000,between 3 and 6 feet,coyote_creek,4.915
h2o_feet,1566025560000000000,between 3 and 6 feet,santa_monica,5.039
h2o_feet,1566025920000000000,between 3 and 6 feet,coyote_creek,5.102
h2o_feet,1566025920000000000,between 3 and 6 feet,santa_monica,5.059
h2o_feet,1566026280000000000,between 3 and 6 feet,coyote_creek,5.289
h2o_feet,1566026280000000000,between 3 and 6 feet,santa_monica,4.964
h2o_feet,1566026640000000000,between 3 and 6 feet,coyote_creek,5.469
h2o_feet,1566026640000000000,between 3 and 6 feet,santa_monica,5.007
h2o_feet,1566027000000000000,between 3 and 6 feet,coyote_creek,5.643
h2o_feet,1566027000000000000,between 3 and 6 feet,santa_monica,4.921
h2o_feet,1566027360000000000,between 3 and 6 feet,coyote_creek,5.814
h2o_feet,1566027360000000000,between 3 and 6 feet,santa_monica,4.875
h2o_feet,1566027720000000000,between 3 and 6 feet,coyote_creek,5.974
h2o_feet,1566027720000000000,between 3 and 6 feet,santa_monica,4.839
h2o_feet,1566028080000000000,between 3 and 6 feet,santa_monica,4.8
h2o_feet,1566028080000000000,between 6 and 9 feet,coyote_creek,6.138
h2o_feet,1566028440000000000,between 3 and 6 feet,santa_monica,4.724
h2o_feet,1566028440000000000,between 6 and 9 feet,coyote_creek,6.293
h2o_feet,1566028800000000000,between 3 and 6 feet,santa_monica,4.547
h2o_feet,1566028800000000000,between 6 and 9 feet,coyote_creek,6.447
h2o_feet,1566029160000000000,between 3 and 6 feet,santa_monica,4.488
h2o_feet,1566029160000000000,between 6 and 9 feet,coyote_creek,6.601
h2o_feet,1566029520000000000,between 3 and 6 feet,santa_monica,4.508
h2o_feet,1566029520000000000,between 6 and 9 feet,coyote_creek,6.749
h2o_feet,1566029880000000000,between 3 and 6 feet,santa_monica,4.393
h2o_feet,1566029880000000000,between 6 and 9 feet,coyote_creek,6.893
h2o_feet,1566030240000000000,between 3 and 6 feet,santa_monica,4.334
h2o_feet,1566030240000000000,between 6 and 9 feet,coyote_creek,7.037
h2o_feet,1566030600000000000,between 3 and 6 feet,santa_monica,4.314
h2o_feet,1566030600000000000,between 6 and 9 feet,coyote_creek,7.172
h2o_feet,1566030960000000000,between 3 and 6 feet,santa_monica,4.173
h2o_feet,1566030960000000000,between 6 and 9 feet,coyote_creek,7.3
h2o_feet,1566031320000000000,between 3 and 6 feet,santa_monica,4.131
h2o_feet,1566031320000000000,between 6 and 9 feet,coyote_creek,7.428
h2o_feet,1566031680000000000,between 3 and 6 feet,santa_monica,3.996
h2o_feet,1566031680000000000,between 6 and 9 feet,coyote_creek,7.549
h2o_feet,1566032040000000000,between 3 and 6 feet,santa_monica,3.924
h2o_feet,1566032040000000000,between 6 and 9 feet,coyote_creek,7.667
h2o_feet,1566032400000000000,between 3 and 6 feet,santa_monica,3.93
h2o_feet,1566032400000000000,between 6 and 9 feet,coyote_creek,7.776
h2o_feet,1566032760000000000,between 3 and 6 feet,santa_monica,3.78
h2o_feet,1566032760000000000,between 6 and 9 feet,coyote_creek,7.874
h2o_feet,1566033120000000000,between 3 and 6 feet,santa_monica,3.773
h2o_feet,1566033120000000000,between 6 and 9 feet,coyote_creek,7.963
h2o_feet,1566033480000000000,between 3 and 6 feet,santa_monica,3.724
h2o_feet,1566033480000000000,between 6 and 9 feet,coyote_creek,8.045
h2o_feet,1566033840000000000,between 3 and 6 feet,santa_monica,3.556
h2o_feet,1566033840000000000,between 6 and 9 feet,coyote_creek,8.114
h2o_feet,1566034200000000000,between 3 and 6 feet,santa_monica,3.461
h2o_feet,1566034200000000000,between 6 and 9 feet,coyote_creek,8.166
h2o_feet,1566034560000000000,between 3 and 6 feet,santa_monica,3.373
h2o_feet,1566034560000000000,between 6 and 9 feet,coyote_creek,8.209
h2o_feet,1566034920000000000,between 3 and 6 feet,santa_monica,3.281
h2o_feet,1566034920000000000,between 6 and 9 feet,coyote_creek,8.238
h2o_feet,1566035280000000000,between 3 and 6 feet,santa_monica,3.126144146
h2o_feet,1566035280000000000,between 6 and 9 feet,coyote_creek,8.258
h2o_feet,1566035640000000000,between 3 and 6 feet,santa_monica,3.077
h2o_feet,1566035640000000000,between 6 and 9 feet,coyote_creek,8.271
h2o_feet,1566036000000000000,between 3 and 6 feet,santa_monica,3.068
h2o_feet,1566036000000000000,between 6 and 9 feet,coyote_creek,8.281
h2o_feet,1566036360000000000,below 3 feet,santa_monica,2.949
h2o_feet,1566036360000000000,between 6 and 9 feet,coyote_creek,8.284
h2o_feet,1566036720000000000,below 3 feet,santa_monica,2.802
h2o_feet,1566036720000000000,between 6 and 9 feet,coyote_creek,8.291
h2o_feet,1566037080000000000,below 3 feet,santa_monica,2.733
h2o_feet,1566037080000000000,between 6 and 9 feet,coyote_creek,8.297
h2o_feet,1566037440000000000,below 3 feet,santa_monica,2.612
h2o_feet,1566037440000000000,between 6 and 9 feet,coyote_creek,8.297
h2o_feet,1566037800000000000,below 3 feet,santa_monica,2.549
h2o_feet,1566037800000000000,between 6 and 9 feet,coyote_creek,8.287
h2o_feet,1566038160000000000,below 3 feet,santa_monica,2.438
h2o_feet,1566038160000000000,between 6 and 9 feet,coyote_creek,8.287
h2o_feet,1566038520000000000,below 3 feet,santa_monica,2.356
h2o_feet,1566038520000000000,between 6 and 9 feet,coyote_creek,8.278
h2o_feet,1566038880000000000,below 3 feet,santa_monica,2.287
h2o_feet,1566038880000000000,between 6 and 9 feet,coyote_creek,8.258
h2o_feet,1566039240000000000,below 3 feet,santa_monica,2.211
h2o_feet,1566039240000000000,between 6 and 9 feet,coyote_creek,8.222
h2o_feet,1566039600000000000,below 3 feet,santa_monica,2.064
h2o_feet,1566039600000000000,between 6 and 9 feet,coyote_creek,8.182
h2o_feet,1566039960000000000,below 3 feet,santa_monica,2.034
h2o_feet,1566039960000000000,between 6 and 9 feet,coyote_creek,8.133
h2o_feet,1566040320000000000,below 3 feet,santa_monica,1.949
h2o_feet,1566040320000000000,between 6 and 9 feet,coyote_creek,8.061
h2o_feet,1566040680000000000,below 3 feet,santa_monica,1.86
h2o_feet,1566040680000000000,between 6 and 9 feet,coyote_creek,7.995
h2o_feet,1566041040000000000,below 3 feet,santa_monica,1.824
h2o_feet,1566041040000000000,between 6 and 9 feet,coyote_creek,7.91
h2o_feet,1566041400000000000,below 3 feet,santa_monica,1.768
h2o_feet,1566041400000000000,between 6 and 9 feet,coyote_creek,7.808
h2o_feet,1566041760000000000,below 3 feet,santa_monica,1.742
h2o_feet,1566041760000000000,between 6 and 9 feet,coyote_creek,7.7
h2o_feet,1566042120000000000,below 3 feet,santa_monica,1.742
h2o_feet,1566042120000000000,between 6 and 9 feet,coyote_creek,7.595
h2o_feet,1566042480000000000,below 3 feet,santa_monica,1.621
h2o_feet,1566042480000000000,between 6 and 9 feet,coyote_creek,7.484
h2o_feet,1566042840000000000,below 3 feet,santa_monica,1.67
h2o_feet,1566042840000000000,between 6 and 9 feet,coyote_creek,7.359
h2o_feet,1566043200000000000,below 3 feet,santa_monica,1.591
h2o_feet,1566043200000000000,between 6 and 9 feet,coyote_creek,7.238
h2o_feet,1566043560000000000,below 3 feet,santa_monica,1.542
h2o_feet,1566043560000000000,between 6 and 9 feet,coyote_creek,7.106
h2o_feet,1566043920000000000,below 3 feet,santa_monica,1.427
h2o_feet,1566043920000000000,between 6 and 9 feet,coyote_creek,6.978
h2o_feet,1566044280000000000,below 3 feet,santa_monica,1.434
h2o_feet,1566044280000000000,between 6 and 9 feet,coyote_creek,6.844
h2o_feet,1566044640000000000,below 3 feet,santa_monica,1.421
h2o_feet,1566044640000000000,between 6 and 9 feet,coyote_creek,6.713
h2o_feet,1566045000000000000,below 3 feet,santa_monica,1.391
h2o_feet,1566045000000000000,between 6 and 9 feet,coyote_creek,6.581
h2o_feet,1566045360000000000,below 3 feet,santa_monica,1.355
h2o_feet,1566045360000000000,between 6 and 9 feet,coyote_creek,6.45
h2o_feet,1566045720000000000,below 3 feet,santa_monica,1.48
h2o_feet,1566045720000000000,between 6 and 9 feet,coyote_creek,6.316
h2o_feet,1566046080000000000,below 3 feet,santa_monica,1.371
h2o_feet,1566046080000000000,between 6 and 9 feet,coyote_creek,6.178
h2o_feet,1566046440000000000,below 3 feet,santa_monica,1.329
h2o_feet,1566046440000000000,between 6 and 9 feet,coyote_creek,6.033
h2o_feet,1566046800000000000,below 3 feet,santa_monica,1.332
h2o_feet,1566046800000000000,between 3 and 6 feet,coyote_creek,5.896
h2o_feet,1566047160000000000,below 3 feet,santa_monica,1.401
h2o_feet,1566047160000000000,between 3 and 6 feet,coyote_creek,5.761
h2o_feet,1566047520000000000,below 3 feet,santa_monica,1.325
h2o_feet,1566047520000000000,between 3 and 6 feet,coyote_creek,5.627
h2o_feet,1566047880000000000,below 3 feet,santa_monica,1.316
h2o_feet,1566047880000000000,between 3 and 6 feet,coyote_creek,5.492
h2o_feet,1566048240000000000,below 3 feet,santa_monica,1.394
h2o_feet,1566048240000000000,between 3 and 6 feet,coyote_creek,5.348
h2o_feet,1566048600000000000,below 3 feet,santa_monica,1.437
h2o_feet,1566048600000000000,between 3 and 6 feet,coyote_creek,5.203
